h2180-cr-s2960x-3	10.120.7.65
h2180-8DAM-s4500x-1	10.120.7.55
h2180-cr-s4500x-1	10.120.7.56
h2180-cr-nx7706-1	42.120.1.5
h2180-cr-nx7706-2	42.120.1.6
h2180-9n-s2960x-2	10.120.7.58
h2180-cr-nx93180-2	10.120.0.18
h2180-cr-nx93180-1	10.120.0.17
eg20-7-s9407r	10.123.64.8
EG20-4-S3850-1	10.123.64.1
bdc-7e-s2960s-1	42.130.0.22
bdc-6d-s2960s-1	42.130.0.26
bdc-6f-s2960s-1	42.130.0.31
bdc-gh-s2960-1	42.130.0.35
bdc-admn-s2960-2	42.130.0.9
bdc-6b-s2960-1	42.130.0.11
bdc-8c-s2960-1	42.130.0.10
bdc-bell-s2960-1	42.130.0.6
bdc-2b-s2960-1	42.130.0.4
bdc-admn-s2960-1	42.130.0.8
bdc-8d-s2960s-1	42.130.0.18
bdc-4k-s2960s-1	42.130.0.30
bdc-4l-s2960s-1	42.130.0.21
bdc-9d-s2960s-1	42.130.0.25
bdc-2a-s2960s-1	42.130.0.28
bdc-3a-s2960s-1	42.130.0.27
bdc-9c-s2960s-1	42.130.0.24
bdc-7g-s2960s-1	42.130.0.34
bdc-5c-s2960s-1	42.130.0.33
bdc-1a-s2960s-1	42.130.0.29
bdc-bell-s2960s-1	42.130.0.7
bdc-9e-s2960s-1	42.130.0.23
bdc-8e-s2960s-1	42.130.0.32
bdc-2b-s2960s-1	42.130.0.12
bdc-7b-s2960s-1	42.130.0.16
bdc-2c-isr3945e-1	10.122.0.9
bdc-cr-isr3945e-1	10.122.0.5
bdc-tran-s4510-1	42.130.0.101
bdc-tran-s4510-2	42.130.0.102
bdc-cr-s4507-1	42.130.0.15
bdc-2c-s4507-1	42.130.0.14
EG20-4-S9500-1	10.123.73.3
EG20-9-S3850-1	10.123.64.2
EG20-9-S9500-1	10.123.64.4
adca-cr-s4503-1	42.201.0.4
adcb-cr-s4503-1	42.201.0.5
DGKIT-CR-S2960S-1	10.109.33.70
wood-cr-isr4431-1	10.108.224.5
wood-cr-isr4431-2	10.108.224.9
vau-cr-s4507-1	10.115.0.11
vau-rec-s4507-1	10.115.0.12
oak-b2-east-s2960s-1	10.117.7.10
oak-b2-west-s2960s-1	10.117.7.11
adcb-5k-s3850-1	10.121.7.22
 adcb-14k-s3850-1	10.121.7.23
adcb-vtr-s2960-1	42.201.0.17
adca-24b-s2960s-1	42.201.0.10
adca-32k-s2960s-1	42.201.0.9
adca-11p-s2960s-1	42.201.0.7
adca-10b-s2960s-1	42.201.0.11
adca-19p-s2960s-1	42.201.0.8
DGKIT-CR-R2951-1	10.109.32.5
adcb-cr-isr2951-1	10.121.0.5
adca-cr-isr2951-1	10.121.0.9
adc-gh-s2960-1	42.201.0.19
adca-cr-s2960s-1	42.201.0.21
adcb-30q-s2960s-1	42.201.0.20
adcb-cr-s3850-1	10.121.7.25
adcb-11b-s3850-1	10.121.7.24
 cdc-cr-s4507-1	42.200.65.10
 cdc-prt-s4507-1	42.200.65.11
cdc-prt-isr3945e-1	10.111.0.5
cdc-cr-isr3945e-1	10.111.0.9
cdc-p35-s2960-1	42.200.65.37
cdc-f19-s2960-1	42.200.65.19
cdc-k26-s2960-1	42.200.65.14
cdc-f7-s2960-1	42.200.65.20
cdc-a16-s2960-1	42.200.65.13
cdc-e26-s2960-1	42.200.65.24
cdc-l12-s2960-1	42.200.65.16
cdc-p31-s2960-1	42.200.65.38
cdc-p39-s2960-1	42.200.65.36
cdc-aa27-s2960-1	42.200.65.31
cdc-bb34-s2960-1	42.200.65.32
cdc-p20-s2960-1	42.200.65.21
cdc-f13-s2960-1	42.200.65.17
cdc-gh-s2960-1	42.200.65.12
cdc-n44-s2960-1	42.200.65.35
cdc-l7-s2960-1	42.200.65.15
cdc-bb42-s2960-1	42.200.65.33
